variable,bin,model,n_flights,small_sample_warning,mae_mah,mean_signed_error_mah,mean_underprediction_mah,p95_underprediction_mah
distance_home,mid,px4_style_multicopter_time_x_current,11,False,197.50233748055453,-197.50233748055453,197.50233748055453,339.49615737841714
distance_home,far,ridge__f0_route_and_wind,14,False,82.87721252738963,7.684494646330444,37.59635894052959,190.72735492688395
distance_home,near,ridge__f0_route_and_wind,14,False,80.79115324444426,11.961079405449945,34.415036919497155,105.27885219333591
distance_home,mid,ridge__f0_route_and_wind,11,False,40.988338274893586,-12.078715408452002,26.533526841672792,98.61905680335053
distance_home,far,neural_network__f0_route_and_wind,14,False,52.0381270987452,9.65651036037668,21.19080836918426,114.79463614785132
distance_home,near,neural_network__f0_route_and_wind,14,False,30.716894628211882,24.26844097242982,3.224226827891033,18.419496856729555
distance_home,mid,neural_network__f0_route_and_wind,11,False,32.36444004291035,13.787320020474805,9.288560011217772,43.90234592735544
distance_home,far,xgboost__f0_route_and_wind,14,False,62.475837669687834,-38.20248700246621,50.339162336077024,184.52173004150387
distance_home,near,xgboost__f0_route_and_wind,14,False,58.5682685437704,31.445808696183885,13.56122992379326,43.45655296325682
distance_home,mid,xgboost__f0_route_and_wind,11,False,57.56131346922538,-44.53907002965632,51.05019174944085,143.30443115234345
distance_home,far,ridge__f1_vehicle_symptoms,14,False,81.3643728424487,13.671414006346042,33.84647941805133,155.67112784114727
distance_home,near,ridge__f1_vehicle_symptoms,14,False,83.09527531621688,18.104746133578733,32.49526459131908,106.01044392852778
distance_home,mid,ridge__f1_vehicle_symptoms,11,False,36.30388859128634,-5.2486618940585315,20.776275242672433,77.761144071942
distance_home,far,neural_network__f1_vehicle_symptoms,14,False,60.75353493122413,-4.36852151080289,32.56102822101351,129.82401242513282
distance_home,near,neural_network__f1_vehicle_symptoms,14,False,53.52137261638444,36.54407837257873,8.488647121902854,38.04283136956505
distance_home,mid,neural_network__f1_vehicle_symptoms,11,False,33.23059604415773,-16.895596848150138,25.06309644615393,66.87154596233768
distance_home,far,xgboost__f1_vehicle_symptoms,14,False,85.60193019898472,-37.16952801809121,61.385729108537966,243.42993743896474
distance_home,near,xgboost__f1_vehicle_symptoms,14,False,51.56044130381617,36.33540917748969,7.612516063163241,37.36132286071787
distance_home,mid,xgboost__f1_vehicle_symptoms,11,False,52.402534394296374,-31.70849252610519,42.055513460200785,144.63585205078095
distance_home,far,ridge__f2_physics_informed,14,False,40.147489470622304,-4.6443116684232075,22.395900569522755,109.62433656470631
distance_home,near,ridge__f2_physics_informed,14,False,24.875682609690234,8.12901371494276,8.373334447373736,31.911173462908778
distance_home,mid,ridge__f2_physics_informed,11,False,27.243469647635326,-15.84477541419026,21.544122530912794,76.02377293373286
distance_home,far,neural_network__f2_physics_informed,14,False,40.952375666256835,-13.21212067645487,27.08224817135585,114.52491898522715
distance_home,near,neural_network__f2_physics_informed,14,False,32.044154386105916,0.46188922046381514,15.791132582821051,48.00249202376102
distance_home,mid,neural_network__f2_physics_informed,11,False,31.13233670653974,-12.44743696857009,21.789886837554914,42.470768483573124
